"Method Name",MLOC
javax.accessibility.Accessible#getAccessibleContext(),1
javax.accessibility.AccessibleAction#getAccessibleActionCount(),1
javax.accessibility.AccessibleAction#getAccessibleActionDescription(int),1
javax.accessibility.AccessibleAction#doAccessibleAction(int),1
javax.accessibility.AccessibleBundle#toDisplayString(java.lang.String java.util.Locale),18
javax.accessibility.AccessibleBundle#toDisplayString(java.util.Locale),3
javax.accessibility.AccessibleBundle#toDisplayString(),3
javax.accessibility.AccessibleBundle#toString(),3
javax.accessibility.AccessibleBundle#loadResourceBundle(java.lang.String java.util.Locale),25
javax.accessibility.AccessibleComponent#getBackground(),1
javax.accessibility.AccessibleComponent#setBackground(java.awt.Color),1
javax.accessibility.AccessibleComponent#getForeground(),1
javax.accessibility.AccessibleComponent#setForeground(java.awt.Color),1
javax.accessibility.AccessibleComponent#getCursor(),1
javax.accessibility.AccessibleComponent#setCursor(unknown.Cursor),1
javax.accessibility.AccessibleComponent#getFont(),1
javax.accessibility.AccessibleComponent#setFont(java.awt.Font),1
javax.accessibility.AccessibleComponent#getFontMetrics(java.awt.Font),1
javax.accessibility.AccessibleComponent#isEnabled(),1
javax.accessibility.AccessibleComponent#setEnabled(boolean),1
javax.accessibility.AccessibleComponent#isVisible(),1
javax.accessibility.AccessibleComponent#setVisible(boolean),1
javax.accessibility.AccessibleComponent#isShowing(),1
javax.accessibility.AccessibleComponent#contains(java.awt.Point),1
javax.accessibility.AccessibleComponent#getLocationOnScreen(),1
javax.accessibility.AccessibleComponent#getLocation(),1
javax.accessibility.AccessibleComponent#setLocation(java.awt.Point),1
javax.accessibility.AccessibleComponent#getBounds(),1
javax.accessibility.AccessibleComponent#setBounds(java.awt.Rectangle),1
javax.accessibility.AccessibleComponent#getSize(),1
javax.accessibility.AccessibleComponent#setSize(java.awt.Dimension),1
javax.accessibility.AccessibleComponent#getAccessibleAt(java.awt.Point),1
javax.accessibility.AccessibleComponent#isFocusTraversable(),1
javax.accessibility.AccessibleComponent#requestFocus(),1
javax.accessibility.AccessibleComponent#addFocusListener(java.awt.event.FocusListener),1
javax.accessibility.AccessibleComponent#removeFocusListener(java.awt.event.FocusListener),1
javax.accessibility.AccessibleContext#getAccessibleName(),3
javax.accessibility.AccessibleContext#setAccessibleName(java.lang.String),5
javax.accessibility.AccessibleContext#getAccessibleDescription(),3
javax.accessibility.AccessibleContext#setAccessibleDescription(java.lang.String),6
javax.accessibility.AccessibleContext#getAccessibleRole(),1
javax.accessibility.AccessibleContext#getAccessibleStateSet(),1
javax.accessibility.AccessibleContext#getAccessibleParent(),3
javax.accessibility.AccessibleContext#setAccessibleParent(javax.accessibility.Accessible),3
javax.accessibility.AccessibleContext#getAccessibleIndexInParent(),1
javax.accessibility.AccessibleContext#getAccessibleChildrenCount(),1
javax.accessibility.AccessibleContext#getAccessibleChild(int),1
javax.accessibility.AccessibleContext#getLocale(),1
javax.accessibility.AccessibleContext#addPropertyChangeListener(java.beans.PropertyChangeListener),6
